Track_name,Artist_name
Repeat,"Chester Young, Rave Republic, Kris Kiss"
ThingsYouSaid,"Cody Fry, Abby Cates"
Dehors,JORDANN
CruelSummer,Taylor Swift
Finalwish,ooxygen
Nothin'onMe,Leah Marie Perez
STAY,"The Kid LAROI, Justin Bieber"
LikeIDo,"J.Tajor, sunkis"
EmptyLove,"Lulleaux, Kid Princess"
goldenhour,JVKE
OneOfTheGirls,"The Weeknd, JENNIE, Lily-Rose Depp"
LoveStory,Taylor Swift
RedMoon,sledg3r
AllNight,"IVE, Saweetie"
LikeIDo,J.Tajor
EveryTimeWeTouch,Dream Tunes
TIREDOFPROBLEMS,"NUEKI, TOLCHONOV, Glichery"
Wake,Hillsong Young & Free
NormalNoMore,TYSM
Starboy,"Grimmmz, Worry Free Studios"
FoolForYou,KASTRA
HeadInTheClouds,Hayd
BABYDOLL,Ari Abdul
SlowDown,"Madnap, Pauline Herr"
SpaceToaster,MokkaMusic
Nothing'sNew,Rio Romeo
GoAgain,"King CAAN, Elysa"
phonekisses,suhmeduh
iwalkthisearthallbymyself,EKKSTACY
Daydream,AxR
IfWeEverBrokeUp,Mae Stephens
Starboy,"The Weeknd, Daft Punk"
SeaOfProblems,Glichery
Zhurek,Adam
PeterPanWasRight,Anson Seabra
exile,"Taylor Swift, Bon Iver"
MothToaFlamexAfterHours,Karry_b
Shootout,"Izzamuzzic, Julien Marchal"
Bones,Imagine Dragons
Peaches,"Justin Bieber, Daniel Caesar, Giveon"
Duvet,Ba
IWishMyMindWouldShutUp,Ivoris
InTheShadowOfTheSun,Professor Green
ShutupMyMomsCalling,Hotel Ugly
IWANNABEYOURSLAVE,Mneskin
RedMoon,Lil Uzi Vert
"24/7,365",elijah woods
Payphone,"ALEMA, Robbe"
thisiswhatwinterfeelslike,JVKE
AfterHours,The Weeknd
ComeAroundMe,Justin Bieber
SOTIRED,"NUEKI, TOLCHONOV"
SeaofTranquility,BeMax
DieForYou,The Weeknd
WatchMeWork,Tinashe
TheDawn,Dreamtale
Baby,Mike Candys
KeepYourHeadUpPrincess,Anson Seabra
AThousandYears,"Jada Facer, Kyson Facer"
III,Athletics
PaintTheTownRed,Doja Cat
StayTheNight,"Just Kiddin, Camden Cox"
AssLikeThat,Eminem
TheBestOfMe,"Dion Timmer, The Arcturians"
SeeYouAgain,"Wiz Khalifa, Charlie Puth"
I'llDoIt,Heidi Montag
AllMyPeople,Alexandra Stan
TekIt,Cafun
MeantToBe,"Arc North, Krista Marina"
TheWayIStillLoveYou,Reynard Silva
,
RideIt,"Larissa Lambert, Jay Sean"
Payphone,"Maroon 5, Wiz Khalifa"
beenloving,Mayten
RunningUpThatHill,Trinix Remix
Lover,Taylor Swift
PastLives,"sapientdream, Slushii"
doubletake,Dhruv
Clues,Ashley Alisha
BleedingLove,"Ni, Co"
Moonlight,Kali Uchis
NightDrive,Wilee
Honest,rei brown
OnceUponaTime,"Max Oazo, Moonessa"
SoFarAway,Adam Christopher
Levels,JordanBeats
EverybodyDiesInTheirNightmares,XXXTENTACION
CallofSilence,Haru
TimetoPretend,Lazer Boomerang
Iwantedyou,Ina Wroldsen
Hits2023,Trinix Remix
CatchMyBreath,Kelly Clarkson
AgoraHills,Doja Cat
EyesClosed,Imagine Dragons
50Feet,SoMo
SoFarAway,"Martin Garrix, David Guetta, Jamie Scott, Romy Dya"
SelfLove,"Metro Boomin, Coi Leray"
IReallyWanttoStayatYourHouse,"Samuel Kim, Lorien"
CatchMyBreath,Kelly Clarkson
MyStupidHeart,"Walk off the Earth, Luminati Suns"
PLAY,"Ricii Lompeurs, Ticia"
BetOnMe,"Walk off the Earth, D Smoke"
CallingMyPhone,"Lil Tjay, 6LACK"
CureForMe,AURORA
MoveYourBody,"wnboss, SEVEK, RAIZHELL"
seven,Zenia
ComeAroundMe,Justin Bieber
Choke,T3muz
Nonsense,Sabrina Carpenter
EminemftCleanBanditRatherBeWithoutMeFullVersion,9DIUZ
BlackMagic,Jonasu
Scared2BeLonely,Lil Tjay
AllForLove,Tungevaag & Raaban
TurnThePage,Sam Lin
redrum,21 Savage
fuzzywuzzy,Versutus
magnolia,keshi
novocaine,"GenriX, CORBAL, Shiloh Dynasty"
TheMiddle,Dream Tunes
Alone,Rentz
Popular,"The Weeknd, Playboi Carti, Madonna"
FaintedPriest,Fatrik
Ferrari,Bebe Rexha
SoftLips,BlankCh3ck
DancingWithYourGhost,Sasha Alex Sloan
Mood,"24kGoldn, iann dior"
Sevgialami,Isakhadjaev
ShootoutXYestoHeaven,Benatora
Novocaine2,"Cloke, Shiloh Dynasty"
Closer,"The Chainsmokers, Halsey"
AllGirlsAreTheSame,Juice WRLD
TickingAway,"VALORANT, Grabbitz, bbno$"
"KissMe,KillMe",ARI HICKS
Butterflies,nohidea.
wyd?,Larissa Lambert
HeatWaves,Glass Animals
WhoSays,Selena Gomez
Sleeptalking,"imfinenow, MIA"
Wild,Monogem
SOTIREDROCK,"NUEKI, TOLCHONOV, RAVENS ROCK"
Unstoppable,Sia
GoAgain,"King CAAN, Elysa"
greentoblue,wakeuptimmy
ShapeofYou,Ed Sheeran
Payphone,"Maroon 5, Wiz Khalifa"
AreYouLost,Park Bird
ThatGirl,Olly Murs
SoldOut,"Jonathan Steingard, Hawk Nelson"
Lullaby,Enzalla
CreaturesinHeaven,Glass Animals
LoveYourself,Justin Bieber
DARKRAVE,"l19u1d, killanoia"
CollapsingWorld,Lightscape
ThingsYouSaid,Cody Fry
ITSOKAYNOW,"TheReal FatBoi, TheReal Lil Kush"
AsItWas,PREP
SomethingJustLikeThis,"The Chainsmokers, Coldplay"
BetOnMe,"Walk off the Earth, D Smoke"
CheriCheriLady,Max Oazo
I'llDoIt,Heidi Montag
LEFTRIGHT,XG
Hush,The Maras
Wellerman,Nathan Evans
WavingAtCars,Isac Elliot
CloseEyes,DVRST
PullUp,Luh Kel
OneLastTime,"Ebony Day, Corey Gray"
Balenciaga,T3nzu
Nothin'onme-SpedUp,Tidiet
LetGo,Beau Young Prince
MysteryofLove,Sufjan Stevens
Reminder,The Weeknd
NotAngry,Chris James
Underground,Lindsey Stirling
3Strikes,Terror Jr
RunFree,"Deep Chills, IVIE"
HandsintheFire,"James Carter, Nevve"
WalkThruFire,"Vicetone, Meron Ryan"
Gravity,Jai Wolf
Julie.,Gallant
Enemy,"Imagine Dragons, JID, , Arcane"
Teeth,5 Seconds of Summer
Insane,"Black Gryph0n, Baasik"
WeDon'tTalkAnymore,"Charlie Puth, Selena Gomez"
greentoblue,Aurenth
ShadowoftheSun,Max Elto
Sugar,Maroon 5
Scopin,Kordhell
seeyoutomorrow,Versutus
safespace,"ptasinski, RJ Pasin, m3gatron"
3:15,Russ
TowardstheLight,Jacoo
Temple,"Zerky, Liu"
EdgeOfMyLife,Manafest
StarUnkind,"2Someone, Lanfranchi, Farina"
IsThereSomeoneElse?,The Weeknd
GigaChadTheme,g3ox_em
Dancingwithmyphone,HYBS
SaveYours,"MadeinTYO, 24hrs"
IntoYou,"DubVision, Matvey Emerson"
